min_recall,equal_opportunity,accuracy,precision,recall,demographic_parity,recall_group_African-American,recall_group_Caucasian,recall_group_Hispanic,recall_group_Other,threshold,iteration
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.010101010101010102,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.020202020202020204,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.030303030303030304,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.04040404040404041,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.05050505050505051,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.06060606060606061,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.07070707070707072,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.08080808080808081,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.09090909090909091,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.10101010101010102,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.11111111111111112,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.12121212121212122,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.13131313131313133,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.14141414141414144,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.15151515151515152,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.16161616161616163,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.17171717171717174,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.18181818181818182,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.19191919191919193,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.20202020202020204,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.21212121212121213,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.22222222222222224,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.23232323232323235,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.24242424242424243,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.25252525252525254,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.26262626262626265,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.27272727272727276,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.2828282828282829,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.29292929292929293,0
0.9740932642487047,0.025906735751295318,0.47434119278779474,0.46070656092285506,0.9845916795069337,0.035441089212117416,0.9868421052631579,0.9740932642487047,1.0,1.0,0.30303030303030304,0
0.9637305699481865,0.03626943005181349,0.4840499306518724,0.46525237746891,0.9799691833590138,0.0861509958314034,0.9842105263157894,0.9637305699481865,1.0,1.0,0.31313131313131315,0
0.9533678756476683,0.04663212435233166,0.49930651872399445,0.4727408513816281,0.975346687211094,0.10968040759610931,0.9815789473684211,0.9533678756476683,1.0,1.0,0.32323232323232326,0
0.927461139896373,0.051486228524679656,0.5034674063800277,0.4745634016704632,0.963020030816641,0.10569708198239924,0.9789473684210527,0.927461139896373,0.9782608695652174,0.9666666666666667,0.33333333333333337,0
0.927461139896373,0.050799729668844384,0.5117891816920943,0.47873163186388246,0.9537750385208013,0.12963464140730718,0.9631578947368421,0.927461139896373,0.9782608695652174,0.9666666666666667,0.3434343434343435,0
0.917098445595855,0.04956822107081171,0.5201109570041609,0.4830841856805665,0.9460708782742681,0.15410331927087484,0.9578947368421052,0.917098445595855,0.9565217391304348,0.9666666666666667,0.3535353535353536,0
0.917098445595855,0.03942329353457985,0.5256588072122053,0.48607796340493237,0.9414483821263482,0.1536894053968001,0.9526315789473684,0.917098445595855,0.9565217391304348,0.9333333333333333,0.36363636363636365,0
0.9119170984455959,0.044604640684838937,0.5298196948682385,0.4883534136546185,0.9368258859784283,0.19533550903446628,0.9473684210526315,0.9119170984455959,0.9565217391304348,0.9333333333333333,0.37373737373737376,0
0.9015544041450777,0.05496733498535711,0.5353675450762829,0.49147034930950445,0.9322033898305084,0.18856960916978427,0.9447368421052632,0.9015544041450777,0.9565217391304348,0.9333333333333333,0.38383838383838387,0
0.8911917098445595,0.05091355331333525,0.536754507628294,0.4922067268252666,0.9244992295839753,0.2093926609886173,0.9421052631578948,0.8911917098445595,0.9130434782608695,0.9333333333333333,0.393939393939394,0
0.8860103626943006,0.05346332151622579,0.5388349514563107,0.49337748344370863,0.9183359013867488,0.23021571280745046,0.9394736842105263,0.8860103626943006,0.8913043478260869,0.9,0.4040404040404041,0
0.8704663212435233,0.06111262612489776,0.5374479889042996,0.49248747913188645,0.9090909090909091,0.23521451882512134,0.9315789473684211,0.8704663212435233,0.8913043478260869,0.9,0.4141414141414142,0
0.8652849740932642,0.06629397327515685,0.5464632454923717,0.4978867286559594,0.9075500770416025,0.2546843906710181,0.9315789473684211,0.8652849740932642,0.8913043478260869,0.9,0.42424242424242425,0
0.8333333333333334,0.0903508771929824,0.5471567267683772,0.4982905982905983,0.8983050847457628,0.28050624850752204,0.9236842105263158,0.8601036269430051,0.8913043478260869,0.8333333333333334,0.43434343434343436,0
0.8,0.12368421052631573,0.5540915395284327,0.5025996533795494,0.8936825885978429,0.2868582344981295,0.9236842105263158,0.8497409326424871,0.8913043478260869,0.8,0.4444444444444445,0
