min_recall,equal_opportunity,accuracy,precision,recall,demographic_parity,recall_group_ Amer-Indian-Eskimo,recall_group_ Asian-Pac-Islander,recall_group_ Black,recall_group_ Other,recall_group_ White,member,split,model_type,dataset,iteration
0.5,0.1923076923076923,0.8763915547024952,0.7762836185819071,0.679144385026738,0.16978651803554526,0.6923076923076923,0.6029411764705882,0.5824175824175825,0.5,0.6883886255924171,0,validation,,adult,0
0.3076923076923077,0.40384615384615385,0.853998720409469,0.7302590018951358,0.6181818181818182,0.18943125839677566,0.3333333333333333,0.7115384615384616,0.4418604651162791,0.3076923076923077,0.6275539988324577,1,validation,,adult,0
0.3333333333333333,0.3385416666666667,0.8689699296225208,0.7657035175879398,0.6518716577540107,0.17973533478174994,0.46153846153846156,0.671875,0.611764705882353,0.3333333333333333,0.6556991774383079,2,validation,,adult,0
0.5051546391752577,0.2448453608247423,0.8515674984005118,0.7255400254129606,0.6106951871657754,0.20116807268007786,0.6666666666666666,0.6962025316455697,0.5051546391752577,0.75,0.6122327790973872,3,validation,,adult,0
0.3333333333333333,0.380952380952381,0.875607883286409,0.7724514563106796,0.6807486631016043,0.1700405113242795,0.3333333333333333,0.625,0.6170212765957447,0.7142857142857143,0.6874632136550912,4,validation,,adult,0
0.36363636363636365,0.15734430585915737,0.8607698607698607,0.8462083628632175,0.5109114249037228,0.11357707670987202,0.36363636363636365,0.3902439024390244,0.4247787610619469,0.5,0.520980669495521,0,test,individual,adult,0
0.3170731707317073,0.1638320626487736,0.8508394758394758,0.8338391502276176,0.47026101839965767,0.09740847169008088,0.36363636363636365,0.3170731707317073,0.39823008849557523,0.4,0.4809052333804809,1,test,individual,adult,0
0.36363636363636365,0.23636363636363633,0.8660933660933661,0.859538784067086,0.5263157894736842,0.11549278552213255,0.36363636363636365,0.45121951219512196,0.45132743362831856,0.6,0.5337105139085337,2,test,individual,adult,0
0.32926829268292684,0.14645070778854885,0.8487919737919738,0.8267477203647416,0.46555412922550277,0.09692954448701577,0.36363636363636365,0.32926829268292684,0.3893805309734513,0.4,0.4757190004714757,3,test,individual,adult,0
0.36363636363636365,0.1677167716771677,0.8647624897624898,0.8537604456824512,0.5246041934103551,0.09616634178037686,0.36363636363636365,0.4268292682926829,0.48672566371681414,0.5,0.5313531353135313,4,test,individual,adult,0
