min_recall,equal_opportunity,accuracy,precision,recall,demographic_parity,recall_group_African-American,recall_group_Caucasian,recall_group_Hispanic,recall_group_Other,member,model_name,split,model_type,dataset,iteration
0.4230769230769231,0.2867022567338025,0.6848484848484848,0.6659619450317125,0.6046065259117083,0.2955182072829131,0.7097791798107256,0.44680851063829785,0.43243243243243246,0.4230769230769231,0,XGBClassifier,validation,,compas,0
0.4172661870503597,0.24328427166523664,0.6562770562770562,0.6302521008403361,0.5758157389635317,0.2692398921832884,0.6605504587155964,0.4172661870503597,0.46875,0.4782608695652174,1,XGBClassifier,validation,,compas,0
0.3157894736842105,0.30875926277788335,0.597053726169844,0.5588865096359743,0.5019230769230769,0.2980513422934734,0.6245487364620939,0.36,0.3157894736842105,0.43333333333333335,2,RandomForestClassifier,validation,,compas,0
0.3157894736842105,0.38619728128267694,0.6863084922010398,0.6732456140350878,0.5903846153846154,0.38620689655172413,0.7019867549668874,0.4779874213836478,0.325,0.3157894736842105,3,CatBoostClassifier,validation,,compas,0
0.3333333333333333,0.26733780760626397,0.6421143847487002,0.6289156626506024,0.5019230769230769,0.21386744743146124,0.6006711409395973,0.37735849056603776,0.3333333333333333,0.375,4,XGBClassifier,validation,,compas,0
0.21243523316062177,0.20072266157622035,0.6532593619972261,0.7577854671280276,0.337442218798151,0.16606908107780374,0.4131578947368421,0.21243523316062177,0.2826086956521739,0.26666666666666666,0,,test,individual,compas,0
0.2538860103626943,0.1724297791109899,0.6532593619972261,0.7320872274143302,0.362095531587057,0.15853702228750804,0.4263157894736842,0.2538860103626943,0.30434782608695654,0.3333333333333333,1,,test,individual,compas,0
0.2,0.23947368421052628,0.6061026352288488,0.6,0.37442218798151,0.1662978587916899,0.4394736842105263,0.29533678756476683,0.2826086956521739,0.2,2,,test,individual,compas,0
0.2,0.20526315789473681,0.6525658807212206,0.7624113475177305,0.3312788906009245,0.1552298614575209,0.4052631578947368,0.22279792746113988,0.2608695652173913,0.2,3,,test,individual,compas,0
0.23333333333333334,0.15614035087719297,0.6255201109570042,0.6617210682492581,0.3436055469953775,0.12081509193663933,0.3894736842105263,0.2694300518134715,0.34782608695652173,0.23333333333333334,4,,test,individual,compas,0
