min_recall,equal_opportunity,accuracy,precision,recall,demographic_parity,recall_group_African-American,recall_group_Caucasian,recall_group_Hispanic,recall_group_Other,threshold,iteration
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.010101010101010102,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.020202020202020204,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.030303030303030304,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.04040404040404041,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.05050505050505051,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.06060606060606061,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.07070707070707072,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.08080808080808081,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.09090909090909091,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.10101010101010102,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.11111111111111112,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.12121212121212122,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.13131313131313133,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.14141414141414144,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.15151515151515152,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.16161616161616163,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.17171717171717174,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.18181818181818182,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.19191919191919193,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.20202020202020204,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.21212121212121213,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.22222222222222224,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.23232323232323235,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.24242424242424243,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.25252525252525254,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.26262626262626265,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.27272727272727276,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.2828282828282829,0
1.0,0.0,0.4500693481276006,0.4500693481276006,1.0,0.0,1.0,1.0,1.0,1.0,0.29292929292929293,0
1.0,0.0,0.4521497919556172,0.4510076441973593,1.0,0.006109979633401208,1.0,1.0,1.0,1.0,0.30303030303030304,0
1.0,0.0,0.4535367545076283,0.4516353514265832,1.0,0.010183299389002087,1.0,1.0,1.0,1.0,0.31313131313131315,0
1.0,0.0,0.4549237170596394,0.4522648083623693,1.0,0.010183299389002087,1.0,1.0,1.0,1.0,0.32323232323232326,0
1.0,0.0,0.4563106796116505,0.4528960223307746,1.0,0.012219959266802416,1.0,1.0,1.0,1.0,0.33333333333333337,0
0.9666666666666667,0.033333333333333326,0.45839112343966715,0.4537166900420757,0.9969183359013868,0.04705882352941182,1.0,0.9948186528497409,1.0,0.9666666666666667,0.3434343434343435,0
0.9666666666666667,0.033333333333333326,0.4604715672676838,0.4546732255797611,0.9969183359013868,0.05882352941176472,1.0,0.9948186528497409,1.0,0.9666666666666667,0.3535353535353536,0
0.9666666666666667,0.033333333333333326,0.4604715672676838,0.4546732255797611,0.9969183359013868,0.05882352941176472,1.0,0.9948186528497409,1.0,0.9666666666666667,0.36363636363636365,0
0.9666666666666667,0.033333333333333326,0.463245492371706,0.4558303886925795,0.9938366718027735,0.07058823529411762,0.9947368421052631,0.9948186528497409,1.0,0.9666666666666667,0.37373737373737376,0
0.9666666666666667,0.033333333333333326,0.46740638002773927,0.4576512455516014,0.9907550077041603,0.10588235294117643,0.9921052631578947,0.9896373056994818,1.0,0.9666666666666667,0.38383838383838387,0
0.9666666666666667,0.033333333333333326,0.47711511789181693,0.4620938628158845,0.9861325115562404,0.16470588235294115,0.9894736842105263,0.9792746113989638,1.0,0.9666666666666667,0.393939393939394,0
0.9666666666666667,0.02017543859649118,0.4826629680998613,0.4646758922068463,0.9830508474576272,0.1763779527559055,0.9868421052631579,0.9792746113989638,0.9782608695652174,0.9666666666666667,0.4040404040404041,0
0.9666666666666667,0.012280701754386003,0.4909847434119279,0.4685883222468588,0.9768875192604006,0.16346414073071713,0.9789473684210527,0.9740932642487047,0.9782608695652174,0.9666666666666667,0.4141414141414142,0
0.9666666666666667,0.011594202898550732,0.49514563106796117,0.47054436987322895,0.9722650231124808,0.19063917854015766,0.9710526315789474,0.9740932642487047,0.9782608695652174,0.9666666666666667,0.42424242424242425,0
0.9637305699481865,0.014530299617030895,0.5090152565880721,0.47756653992395437,0.9676425269645609,0.28069728568017194,0.968421052631579,0.9637305699481865,0.9782608695652174,0.9666666666666667,0.43434343434343436,0
0.9631578947368421,0.015102974828375304,0.5180305131761442,0.48228043143297383,0.9645608628659477,0.28569609169784294,0.9631578947368421,0.9637305699481865,0.9782608695652174,0.9666666666666667,0.4444444444444445,0
0.9430051813471503,0.03525568821806713,0.5298196948682385,0.48855564325177586,0.9537750385208013,0.26945793202260604,0.9552631578947368,0.9430051813471503,0.9782608695652174,0.9666666666666667,0.4545454545454546,0
