min_recall,equal_opportunity,accuracy,precision,recall,demographic_parity,recall_group_African-American,recall_group_Caucasian,recall_group_Hispanic,recall_group_Other,member,model_name,split,model_type,dataset,iteration
0.3076923076923077,0.35139860139860135,0.6642424242424242,0.6547231270358306,0.5403225806451613,0.260645933014354,0.6590909090909091,0.3611111111111111,0.3076923076923077,0.5,0,XGBClassifier,validation,,compas,1
0.30434782608695654,0.30369237491806855,0.6242424242424243,0.5922619047619048,0.5349462365591398,0.20645999026132122,0.6080402010050251,0.453125,0.30434782608695654,0.5909090909090909,1,RandomForestClassifier,validation,,compas,1
0.3,0.39302325581395353,0.6824242424242424,0.6751592356687898,0.5698924731182796,0.3480458793542906,0.6930232558139535,0.41904761904761906,0.40625,0.3,2,CatBoostClassifier,validation,,compas,1
0.42424242424242425,0.24544083367612773,0.6545454545454545,0.6211699164345403,0.5994623655913979,0.21999843026450044,0.669683257918552,0.5192307692307693,0.42424242424242425,0.5,3,XGBClassifier,validation,,compas,1
0.34375,0.32291666666666663,0.683252427184466,0.6740506329113924,0.5741239892183289,0.31066585711394457,0.6666666666666666,0.46534653465346537,0.34375,0.38461538461538464,4,CatBoostClassifier,validation,,compas,1
0.25,0.40116279069767447,0.6504854368932039,0.6269113149847095,0.5525606469002695,0.24590455840455838,0.6511627906976745,0.4,0.6,0.25,5,CatBoostClassifier,validation,,compas,1
0.3333333333333333,0.24561403508771934,0.6492718446601942,0.6378737541528239,0.5161290322580645,0.2167319551642555,0.5752212389380531,0.4107142857142857,0.3333333333333333,0.5789473684210527,6,XGBClassifier,validation,,compas,1
0.10869565217391304,0.2755148741418764,0.6227461858529819,0.6842105263157895,0.300462249614792,0.16445931403364836,0.38421052631578945,0.20725388601036268,0.10869565217391304,0.13333333333333333,0,,test,individual,compas,1
0.15217391304347827,0.28466819221967965,0.6095700416088765,0.6131578947368421,0.35901386748844377,0.19170580275411925,0.4368421052631579,0.2849740932642487,0.15217391304347827,0.16666666666666666,1,,test,individual,compas,1
0.06521739130434782,0.32425629290617847,0.6477115117891817,0.7786561264822134,0.3035439137134052,0.2177341161177586,0.3894736842105263,0.21761658031088082,0.06521739130434782,0.13333333333333333,2,,test,individual,compas,1
0.15217391304347827,0.22151029748283751,0.6276005547850209,0.6931034482758621,0.30970724191063176,0.17885416555677497,0.3736842105263158,0.23834196891191708,0.15217391304347827,0.2,3,,test,individual,compas,1
0.08695652173913043,0.31041189931350116,0.6539528432732317,0.7884615384615384,0.31587057010785824,0.21256646031559992,0.3973684210526316,0.22797927461139897,0.08695652173913043,0.2,4,,test,individual,compas,1
0.08695652173913043,0.3130434782608696,0.6567267683772539,0.7984496124031008,0.31741140215716485,0.2177341161177586,0.4,0.22279792746113988,0.08695652173913043,0.23333333333333334,5,,test,individual,compas,1
0.13043478260869565,0.26167048054919906,0.630374479889043,0.6858974358974359,0.32973805855161786,0.16741073806910806,0.39210526315789473,0.26424870466321243,0.13043478260869565,0.26666666666666666,6,,test,individual,compas,1
